API Well Number,Well Name,Well Name Suffix,Bottom Lease Number,Bottom Area,Bottom Block,Company Name,Spud Date,BH Total MD (feet),True Vertical Depth (feet),TVD Subsea (feet),RKB,KOP,Total Depth Date,Status Date,Type Code,Status Code,Casing Cut Code,Water Depth (feet),Underwater Comp Stub,Surface Lease Number,Surface Latitude,Surface Longitude,Bottom Latitude,Bottom Longitude
608174009370, A015,ST00BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",11/26/1979,2150,2146,2038,108,,11/30/1979,,D,ST,,1024,N,G02638,28.79103867,-89.05619247,28.79097307,-89.05605007
608174016470, A062,ST00BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",6/15/1981,2178,2165,2060,105,,6/22/1981,6/22/1981,D,ST,,1023,N,G02638,28.79086478,-89.05641384,28.79070828,-89.05685404
608174015970, A056,ST02BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",7/19/1995,9800,9218,9113,105,8651,7/25/1995,8/3/1995,D,ST,,1024,N,G02638,28.79082894,-89.05641938,28.79133744,-89.06337618
608174011470, A024,ST01BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",11/27/1993,11710,8592,8487,105,10636,12/21/1993,,D,ST,,1024,N,G02638,28.79085811,-89.05645277,28.79156341,-89.07558917
608174010470, A016,ST02BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",2/5/1997,17450,10148,10034,114,2146,3/6/1997,3/26/1997,D,ST,,1024,N,G02638,28.79088668,-89.05642051,28.76604698,-89.08388451
608174009670, A004,ST01BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",4/13/1990,11452,8893,8776,117,3695,4/26/1990,4/27/1990,D,ST,,1024,N,G02638,28.79084833,-89.05646345,28.78409183,-89.07399645
608174015870, A054,ST01BP00,G02642,MC,  150,"EnVen Energy Ventures, LLC",8/8/1990,8720,6688,6580,108,3809,8/20/1990,8/27/1990,D,ST,,1024,N,G02638,28.79087697,-89.05633603,28.79989567,-89.06568583
608174014670, A046,ST00BP00,G02642,MC,  150,"EnVen Energy Ventures, LLC",1/30/1981,11429,9810,9705,105,,2/11/1981,2/16/1981,D,ST,,1024,N,G02638,28.79089787,-89.05640824,28.80011467,-89.06803994
608174013071, A041,ST02BP01,G02642,MC,  150,"EnVen Energy Ventures, LLC",10/11/1995,12895,9368,9260,108,10250,10/30/1995,11/8/1995,D,ST,,1024,N,G02638,28.79106839,-89.05622739,28.79780129,-89.06810679
608174013070, A041,ST02BP00,G02642,MC,  150,"EnVen Energy Ventures, LLC",9/13/1995,12111,9319,9211,108,10794,9/27/1995,10/11/1995,D,ST,,1024,N,G02638,28.79106839,-89.05622739,28.79854079,-89.06542089
608174010171, A033,ST00BP01,G02642,MC,  150,"EnVen Energy Ventures, LLC",2/22/1980,14250,8661,8553,108,12833,3/13/1980,3/20/1980,D,ST,,1024,N,G02638,28.79109741,-89.05612806,28.81792591,-89.05844126
608174010170, A033,ST00BP00,G02642,MC,  150,"EnVen Energy Ventures, LLC",1/26/1980,13778,8534,8426,108,,2/21/1980,2/22/1980,D,ST,,1024,N,G02638,28.79109741,-89.05612806,28.81673051,-89.05803646
608174007771, A008,ST01BP00,G02642,MC,  150,"EnVen Energy Ventures, LLC",2/17/1994,11843,8995,8890,105,10720,3/6/1994,3/7/1994,D,ST,,1024,N,G02638,28.79088436,-89.05639237,28.79737516,-89.07197807
608174006870, A002,ST00BP00,G02642,MC,  150,"EnVen Energy Ventures, LLC",3/8/1979,13370,9756,9648,108,,3/29/1979,4/11/1979,D,ST,,1024,N,G02638,28.79090394,-89.0563709,28.80657934,-89.0733092
608174006101, A007,ST01BP00,G02643,MC,  151,"EnVen Energy Ventures, LLC",11/25/2002,20275,7598,7469,129,2229,12/17/2002,12/19/2002,D,ST,N,1024,N,G02638,28.79110248,-89.05615626,28.81277488,-89.01210496
608174011402, A024,ST02BP00,G02639,MC,  195,"EnVen Energy Ventures, LLC",7/21/2002,17041,13101,12972,129,2123,9/15/2002,8/2/2003,D,ST,,1024,N,G02638,28.79085811,-89.05645277,28.77574931,-89.03242447
608174007603, A014,ST03BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",1/16/2001,11057,8093,7996,97,10043,1/17/2001,1/20/2001,D,ST,,1025,N,G02638,28.79081548,-89.05640038,28.77675948,-89.06805008
608174007602, A014,ST02BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",9/5/2000,13026,9684,9587,97,10315,9/8/2000,1/16/2001,D,ST,,1025,N,G02638,28.79081548,-89.05640038,28.77389958,-89.06724468
608174015800, A054,ST00BP00,G02642,MC,  150,"EnVen Energy Ventures, LLC",4/22/1981,12556,9332,9227,105,,5/10/1981,8/3/1990,D,ST,N,1024,N,G02638,28.79087697,-89.05633603,28.80225247,-89.07483393
608174007700, A008,ST00BP01,G02642,MC,  150,"EnVen Energy Ventures, LLC",6/27/1979,12150,9793,9685,108,10738,6/28/1979,2/17/1994,D,ST,N,1024,N,G02638,28.79088436,-89.05639237,28.79561626,-89.07484917
608174012602, A037,ST02BP00,G02643,MC,  151,"EnVen Energy Ventures, LLC",7/10/1994,13038,8372,8264,108,10628,8/2/1994,5/27/2001,D,ST,N,1025,N,G02638,28.7910829,-89.05617773,28.8045615,-89.03972263
608174010102, A033,ST02BP01,G02643,MC,  151,"EnVen Energy Ventures, LLC",3/6/1995,12800,7666,7558,108,10826,3/11/1995,10/4/1997,D,ST,N,1024,N,G02638,28.79109741,-89.05612806,28.79780361,-89.03189376
608174015702, A052,ST02BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",12/19/1998,9857,7097,6992,105,6283,12/25/1998,12/26/1998,D,ST,N,1024,N,G02638,28.79085677,-89.05639807,28.78546637,-89.05682617
608174010302, A010,ST02BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",11/23/1996,15775,10031,9923,108,7848,12/11/1996,12/21/1996,D,ST,N,1024,N,G02638,28.79086578,-89.05634829,28.77776258,-89.08323709
608174013000, A041,ST00BP00,G02642,MC,  150,"EnVen Energy Ventures, LLC",10/30/1980,11246,8653,8545,108,,11/9/1980,8/26/1995,D,ST,N,1024,N,G02638,28.79106839,-89.05622739,28.80665489,-89.06335999
