,lease,protraction_id,block_num,sale,bid_amount,company_num,precentage_bid,company,block_code
264,36542,NH16-10,344,252,1.102991,59,100.0,Hess Corporation,NH16-10 - 344
265,36542,NH16-10,344,252,4.0675050000000015,2219,100.0,Anadarko US Offshore LLC,NH16-10 - 344
266,36542,NH16-10,344,252,1.001321,2481,50.0,BP Exploration & Production Inc.,NH16-10 - 344
267,36542,NH16-10,344,252,0.593443,3026,100.0,EnVen Energy Ventures,NH16-10 - 344
268,36542,NH16-10,344,252,1.001321,2058,50.0,LLOG Exploration Offshore,NH16-10 - 344
269,36477,TX7C,A,252,0.275408,3197,100.0,GOME 1271 LLC,TX7C - A
270,36597,NH16-11,894,252,0.771988,689,100.0,Shell Offshore Inc.,NH16-11 - 894
271,36560,NH16-10,827,252,0.600524,2481,100.0,BP Exploration & Production Inc.,NH16-10 - 827
272,36521,NH16-07,773,252,0.30750500000000003,2219,100.0,Anadarko US Offshore LLC,NH16-07 - 773
273,36540,NH16-10,206,252,0.615829,3295,20.0,Fieldwood Energy LLC,NH16-10 - 206
274,36540,NH16-10,206,252,0.615829,78,80.0,Chevron U.S.A. Inc.,NH16-10 - 206
275,36544,NH16-10,380,252,0.583333,3295,100.0,Fieldwood Energy LLC,NH16-10 - 380
276,36569,NH16-10,938,252,0.651988,689,100.0,Shell Offshore Inc.,NH16-10 - 938
277,36514,LA5,231,252,0.135,2967,100.0,Peregrine Oil & Gas II,LA5 - 231
278,36586,NH16-11,760,252,0.771988,689,100.0,Shell Offshore Inc.,NH16-11 - 760
279,36484,NG15-02,530,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-02 - 530
280,36553,NH16-10,737,252,0.583333,3295,100.0,Fieldwood Energy LLC,NH16-10 - 737
281,36553,NH16-10,737,252,6.00301,1500,100.0,TOTAL E&P USA,NH16-10 - 737
282,36607,NG15-02,501,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-02 - 501
283,36496,NG15-04,343,252,8.201988,689,100.0,Shell Offshore Inc.,NG15-04 - 343
284,36683,NG16-02,152,252,0.807524,2481,100.0,BP Exploration & Production Inc.,NG16-02 - 152
